JULDAY,TIME,D0cm,D2.5cm,D5cm,D10cm,D15cm,D20cm,D30cm,D50cm,D100cm,D200cm,Tair,Tair_mammals
135,540,23.76016426,22.97794914,22.3288002,21.37352943,20.74534988,20.33831787,19.93932343,19.55422401,17.49700165,15.49166775,18.97351074,21.02059937
135,600,25.1588707,24.93919563,23.69288063,22.47193336,21.52267075,20.85775948,20.10942841,19.51769257,17.51800728,15.49166775,21.89001465,23.28886223
135,660,27.00250626,26.01921272,25.12136078,23.59761429,22.41430092,21.51807404,20.40194321,19.5111866,17.53795815,15.49166775,24.36465454,25.49417496
135,720,28.13832283,27.12000275,26.1839447,24.57134628,23.26116943,22.21490288,20.78775978,19.54175949,17.55757141,15.49166775,26.01895142,26.92759514
135,780,29.14888191,28.12096977,27.16661263,25.47675133,24.06291008,22.89891052,21.22321892,19.61135483,17.57762527,15.49166775,26.6000061,27.69279289
135,840,29.73392296,28.79525948,27.89887619,26.24037933,24.79114151,23.55445671,21.68185234,19.71805382,17.59889221,15.49166775,26.01895142,27.6113205
135,900,29.76578712,29.00357819,28.23983383,26.74419594,25.35972214,24.12346268,22.13596344,19.85757446,17.62203598,15.49166775,24.36462402,26.67923164
135,960,29.18915749,28.6744709,28.11568451,26.90856171,25.6936512,24.54145813,22.54852295,20.02283478,17.64759827,15.49166775,21.89001465,25.01727104
135,1020,28.07379913,27.84166908,27.5247345,26.69707108,25.74234581,24.75560188,22.87980652,20.20373154,17.67590332,15.49166775,18.97351074,22.87157059
135,1080,26.54456329,26.59753418,26.53721809,26.13473701,25.49933624,24.74043846,23.09584618,20.3877964,17.70704269,15.49166775,16.06103516,20.55057907
135,1140,25.00292778,25.23742867,25.36239433,25.3245163,25.0068531,24.50309563,23.17593765,20.56157494,17.740839,15.49166775,14.18972778,18.81940842
135,1200,23.85777092,24.12918663,24.32068634,24.48532867,24.39743805,24.11196899,23.12262726,20.712677,17.77686691,15.49166775,13.4927063,17.92951584
